Store,Date,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2
1,2022-02-09,3,10793.86,355.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-10,4,12113.96,514.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-11,5,14379.17,504.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-12,6,13931.53,588.0,1,0,b,0,c,basic,1916.0044196750216,1
1,2022-02-13,7,16577.2,578.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-14,1,15803.32,652.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-15,2,10377.53,512.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-16,3,14785.87,429.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-17,4,10142.78,449.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-02-18,5,14985.37,524.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-19,6,16661.99,502.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-20,7,11287.41,462.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-02-21,1,13840.43,502.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-22,2,15012.76,470.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-23,3,10798.49,525.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-24,4,9714.88,336.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-25,5,12579.22,451.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-26,6,16022.08,752.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-02-27,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-02-28,1,11018.86,345.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-01,2,11173.15,548.0,1,0,a,1,c,basic,1916.0044196750216,1
1,2022-03-02,3,12548.95,561.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-03,4,13785.0,460.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-03-04,5,17290.42,657.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-05,6,18885.24,934.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-06,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-07,1,10953.84,404.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-08,2,9952.63,340.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-09,3,11041.59,336.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-10,4,13556.19,457.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-11,5,11565.2,390.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-12,6,19323.33,749.0,1,1,a,1,c,basic,1916.0044196750216,1
1,2022-03-13,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-14,1,11291.42,535.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-03-15,2,10299.94,319.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-16,3,15565.17,501.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-17,4,11323.69,362.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-03-18,5,12390.97,493.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-03-19,6,12405.88,396.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-20,7,12497.29,373.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-21,1,15643.68,732.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-03-22,2,17021.51,636.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-23,3,15812.67,505.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-24,4,10225.1,362.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-03-25,5,10985.12,504.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-03-26,6,16410.33,507.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-27,7,0.0,0.0,0,0,b,0,c,basic,1916.0044196750216,1
1,2022-03-28,1,11222.25,348.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-03-29,2,13271.63,419.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-30,3,13995.1,645.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-03-31,4,11356.39,364.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-04-01,5,9780.26,402.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-02,6,17007.58,805.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-04-03,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-04,1,10678.88,363.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-04-05,2,10548.18,359.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-06,3,11709.05,462.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-07,4,11216.43,348.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-08,5,14373.35,444.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-09,6,17811.99,539.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-10,7,0.0,0.0,0,0,0,1,c,basic,1916.0044196750216,1
1,2022-04-11,1,10531.64,364.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-04-12,2,13717.14,523.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-13,3,15595.22,484.0,1,1,c,1,c,basic,1916.0044196750216,1
1,2022-04-14,4,10195.52,381.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-04-15,5,14744.72,629.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-16,6,13239.57,476.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-17,7,11855.84,417.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-18,1,12270.58,529.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-19,2,11618.93,402.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-20,3,14164.99,446.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-21,4,10873.44,317.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-04-22,5,10383.82,299.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-23,6,13894.47,588.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-24,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-25,1,13179.97,393.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-26,2,9556.53,417.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-27,3,10575.34,457.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-28,4,12459.27,605.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-04-29,5,10571.77,329.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-04-30,6,12547.97,490.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-01,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-02,1,10594.04,316.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-03,2,8799.2,329.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-04,3,9582.25,385.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-05,4,9719.06,291.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-06,5,11587.04,412.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-05-07,6,11717.32,534.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-08,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-09,1,10924.22,507.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-05-10,2,10320.6,452.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-11,3,12764.61,488.0,1,1,b,0,c,basic,1916.0044196750216,1
1,2022-05-12,4,8960.44,259.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-05-13,5,10263.01,302.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-14,6,10582.69,335.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-15,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-16,1,8286.14,288.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-17,2,10557.27,508.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-18,3,9189.65,304.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-19,4,10522.7,401.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-05-20,5,12930.05,569.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-05-21,6,11842.32,362.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-22,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-23,1,13086.55,515.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-05-24,2,15359.03,577.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-05-25,3,9803.04,417.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-26,4,11426.54,340.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-27,5,10841.82,490.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-05-28,6,13088.89,391.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-29,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-05-30,1,11267.88,339.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-05-31,2,10184.43,311.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-01,3,10595.86,343.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-02,4,10458.27,371.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-03,5,8661.54,332.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-06-04,6,11074.51,384.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-05,7,0.0,0.0,0,0,0,1,c,basic,1916.0044196750216,1
1,2022-06-06,1,8928.54,291.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-07,2,11323.46,429.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-06-08,3,9980.45,287.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-09,4,10938.34,330.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-10,5,8387.48,261.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-11,6,9790.97,348.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-12,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-13,1,7565.27,334.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-14,2,10917.96,429.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-15,3,7659.04,222.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-16,4,8967.74,256.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-17,5,7860.65,234.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-18,6,10924.71,403.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-19,7,7522.19,289.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-20,1,9461.63,287.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-21,2,7583.89,372.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-22,3,13035.45,638.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-23,4,10511.1,352.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-24,5,8951.5,290.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-06-25,6,9134.47,374.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-26,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-06-27,1,9062.18,315.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-06-28,2,9720.53,378.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-29,3,10193.43,389.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-06-30,4,9368.74,292.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-01,5,7236.31,257.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-02,6,7588.98,315.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-07-03,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-04,1,7334.13,246.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-05,2,7447.56,256.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-06,3,10368.82,394.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-07-07,4,7639.04,359.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-08,5,6736.61,276.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-09,6,7889.76,263.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-10,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-11,1,9178.58,441.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-12,2,7010.72,331.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-13,3,9676.67,364.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-07-14,4,8420.68,291.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-07-15,5,10327.7,468.0,1,1,a,0,c,basic,1916.0044196750216,1
1,2022-07-16,6,9652.04,311.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-17,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-18,1,7357.87,315.0,1,0,b,1,c,basic,1916.0044196750216,1
1,2022-07-19,2,7584.02,333.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-07-20,3,7423.37,243.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-07-21,4,9417.56,285.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-07-22,5,10100.3,491.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-07-23,6,8923.27,355.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-24,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-25,1,6927.56,235.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-26,2,7795.72,243.0,1,0,c,0,c,basic,1916.0044196750216,1
1,2022-07-27,3,9505.0,365.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-07-28,4,7870.2,253.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-07-29,5,5998.71,246.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-07-30,6,7046.22,233.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-07-31,7,7681.4,292.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-08-01,1,5628.46,161.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-08-02,2,8558.43,293.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-03,3,5946.38,187.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-04,4,7786.83,234.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-08-05,5,7243.78,237.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-08-06,6,7177.63,307.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-07,7,0.0,0.0,0,0,0,1,c,basic,1916.0044196750216,1
1,2022-08-08,1,6689.48,236.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-09,2,7032.85,294.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-10,3,6786.78,321.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-11,4,5673.26,196.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-12,5,6898.56,207.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-13,6,10360.53,313.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-08-14,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-15,1,8115.76,324.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-16,2,8375.61,257.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-17,3,6471.59,219.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-18,4,6380.35,201.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-19,5,6290.95,213.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-20,6,10185.77,335.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-21,7,6243.49,212.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-08-22,1,9056.38,262.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-23,2,8151.91,258.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-08-24,3,5061.27,144.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-25,4,6767.43,290.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-26,5,9078.34,376.0,1,1,a,0,c,basic,1916.0044196750216,1
1,2022-08-27,6,7540.33,254.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-28,7,8111.57,242.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-29,1,5562.0,168.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-08-30,2,7276.3,220.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-08-31,3,8797.92,400.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-09-01,4,8857.69,277.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-02,5,5607.98,243.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-03,6,8518.49,354.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-04,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-05,1,7504.04,307.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-09-06,2,7434.43,360.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-07,3,7463.23,244.0,1,0,0,0,c,basic,,1
1,2022-09-08,4,6004.73,216.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-09,5,5911.18,268.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-10,6,8703.17,378.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-11,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-12,1,7873.56,257.0,1,1,0,0,c,basic,,1
1,2022-09-13,2,7321.26,291.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-14,3,8859.73,330.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-15,4,7983.89,376.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-16,5,5830.09,168.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-17,6,9795.43,327.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-18,7,6413.74,212.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-19,1,6364.76,236.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-20,2,6372.67,249.0,1,1,b,0,c,basic,1916.0044196750216,1
1,2022-09-21,3,7127.47,248.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-22,4,5042.45,174.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-23,5,7386.51,250.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-09-24,6,9707.74,354.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-09-25,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-26,1,5853.17,260.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-09-27,2,5248.87,166.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-09-28,3,6730.07,285.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-29,4,6631.48,250.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-09-30,5,7453.49,331.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-01,6,9629.93,294.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-02,7,9244.21,426.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-03,1,6295.9,185.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-04,2,5719.73,257.0,1,0,b,1,c,basic,,1
1,2022-10-05,3,6469.57,195.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-06,4,6670.06,222.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-07,5,5782.98,192.0,1,0,a,0,c,basic,1916.0044196750216,1
1,2022-10-08,6,10598.22,397.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-09,7,0.0,0.0,0,0,0,1,c,basic,1916.0044196750216,1
1,2022-10-10,1,10293.46,311.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-11,2,8251.88,271.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-12,3,9656.34,447.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-10-13,4,5653.61,163.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-10-14,5,9641.84,290.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-15,6,10415.39,324.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-16,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-17,1,5571.7,183.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-18,2,5338.59,208.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-19,3,9211.25,341.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-10-20,4,7370.18,271.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-21,5,7314.28,261.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-22,6,8151.64,264.0,1,1,a,0,c,basic,1916.0044196750216,1
1,2022-10-23,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-24,1,8396.79,401.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-25,2,6353.06,232.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-26,3,6508.72,263.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-27,4,7284.41,277.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-28,5,8401.02,274.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-10-29,6,6650.85,193.0,1,0,0,1,c,basic,1916.0044196750216,1
1,2022-10-30,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-10-31,1,9318.86,280.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-11-01,2,9917.14,379.0,1,1,0,1,c,basic,1916.0044196750216,1
1,2022-11-02,3,7896.15,327.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-03,4,8882.83,414.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-11-04,5,7733.95,234.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-05,6,8171.07,275.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-06,7,0.0,0.0,0,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-07,1,6760.0,255.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-08,2,11123.4,507.0,1,1,0,0,c,basic,1916.0044196750216,1
1,2022-11-09,3,7073.44,332.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-10,4,7203.21,307.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-11,5,7525.53,226.0,1,0,0,0,c,basic,1916.0044196750216,1
1,2022-11-12,6,7452.08,298.0,1,0,0,1,c,basic,1916.0044196750216,1
